Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,LayAOAV,ProbH,ProbD,ProbA,TotalProb,NormProbH,NormProbD,NormProbA,Margin,SpreadHA,RatioHA,LogOddsH,LogOddsD,LogOddsA
2024-08-31,2024,West Ham,Man City,1,3,A,7.0,5.5,1.38,1,0.14285714285714285,0.18181818181818182,0.7246376811594204,1.049313005834745,0.1361434977578475,0.17327354260089683,0.6905829596412556,4.931300583474507,5.62,5.072460092420224,1.9459101490553132,1.7047480922384253,0.3220834991691132
2024-09-01,2024,Chelsea,Crystal Palace,1,1,D,1.6,4.33,5.0,1,0.625,0.23094688221709006,0.2,1.05594688221709,0.5918858330143802,0.2187107004210181,0.1894034665646017,5.59468822170901,-3.4,0.3199999360000128,0.47000362924573563,1.4655675420143985,1.6094379124341003
2024-09-01,2024,Newcastle,Tottenham,2,1,H,2.5,4.0,2.5,1,0.4,0.25,0.4,1.05,0.38095238095238093,0.23809523809523808,0.38095238095238093,5.000000000000004,0.0,0.99999960000016,0.9162907318741551,1.3862943611198906,0.9162907318741551
2024-09-01,2024,Man United,Liverpool,0,3,A,3.7,4.2,1.85,1,0.27027027027027023,0.23809523809523808,0.5405405405405405,1.0489060489060487,0.25766871165644173,0.2269938650306749,0.5153374233128835,4.890604890604866,1.85,1.9999989189195033,1.308332819650179,1.4350845252893227,0.6151856390902335
2024-09-14,2024,Southampton,Man United,0,3,A,4.5,4.0,1.7,1,0.2222222222222222,0.25,0.5882352941176471,1.0604575163398693,0.20955315870570107,0.2357473035439137,0.5546995377503853,6.045751633986929,2.8,2.647057266436902,1.5040773967762742,1.3862943611198906,0.5306282510621704
2024-09-14,2024,Brighton,Ipswich,0,0,D,1.38,5.0,7.5,1,0.7246376811594204,0.2,0.13333333333333333,1.0579710144927537,0.6849315068493151,0.18904109589041096,0.12602739726027395,5.797101449275366,-6.12,0.1839999754666699,0.3220834991691132,1.6094379124341003,2.0149030205422647
2024-09-14,2024,Crystal Palace,Leicester,2,2,D,1.62,4.0,5.5,1,0.6172839506172839,0.25,0.18181818181818182,1.0491021324354657,0.5883926183471516,0.23829901043059643,0.17330837122225196,4.910213243546568,-3.88,0.2945454009917453,0.4824261492442928,1.3862943611198906,1.7047480922384253
2024-09-14,2024,Fulham,West Ham,1,1,D,2.38,3.25,3.0,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1.0611937082525318,0.39593908629441626,0.2899492385786802,0.3141116751269035,6.119370825253179,-0.6200000000000001,0.7933330688889769,0.8671004876833833,1.1786549963416462,1.0986122886681098
2024-09-14,2024,Liverpool,Nott'm Forest,0,1,A,1.22,6.5,12.0,1,0.819672131147541,0.15384615384615385,0.08333333333333333,1.0568516183270282,0.7755791985681615,0.14557024957740877,0.07885055185442974,5.685161832702823,-10.78,0.10166665819444516,0.19885085874516517,1.8718021769015913,2.4849066497880004
2024-09-14,2024,Man City,Brentford,2,1,H,1.18,8.0,12.0,1,0.8474576271186441,0.125,0.08333333333333333,1.0557909604519775,0.802675585284281,0.11839464882943143,0.07892976588628761,5.579096045197751,-10.82,0.09833332513888958,0.16551443847757333,2.0794415416798357,2.4849066497880004
